Date,High,Low,Open,Close,Volume,Adj Close
2015/07/20,5231.94,5201.49,5223.18,5218.86,1814180000,5218.86
2015/07/21,5229.0,5196.3,5219.2,5208.12,1774570000,5208.12
2015/07/22,5184.74,5145.78,5146.03,5171.77,2035730000,5171.77
2015/07/23,5197.0,5137.64,5180.33,5146.41,2003310000,5146.41
2015/07/24,5167.54,5084.51,5166.91,5088.63,2004380000,5088.63
2015/07/27,5072.88,5032.69,5055.92,5039.78,1942520000,5039.78
2015/07/28,5097.69,5025.61,5063.44,5089.21,2025110000,5089.21
2015/07/29,5117.84,5080.04,5097.86,5111.73,1890350000,5111.73
2015/07/30,5135.65,5070.62,5100.3,5128.78,1908480000,5128.78
2015/07/31,5155.02,5122.37,5148.18,5128.28,1926360000,5128.28
2015/08/03,5143.08,5082.32,5134.34,5115.38,1790080000,5115.38
2015/08/04,5125.9,5092.46,5110.96,5105.55,1819700000,5105.55
2015/08/05,5175.26,5131.86,5132.77,5139.94,2041490000,5139.94
2015/08/06,5149.93,5035.41,5146.63,5056.44,2290950000,5056.44
2015/08/07,5055.56,5006.15,5043.97,5043.54,2008360000,5043.54
2015/08/10,5112.47,5081.11,5081.72,5101.8,1784930000,5101.8
2015/08/11,5089.33,5013.45,5069.16,5036.79,1912340000,5036.79
2015/08/12,5055.75,4945.79,4994.52,5044.39,2089460000,5044.39
2015/08/13,5071.46,5029.61,5050.94,5033.56,1632340000,5033.56
2015/08/14,5051.89,5012.61,5025.92,5048.24,1487630000,5048.24
2015/08/17,5092.69,5022.42,5032.34,5091.7,1510790000,5091.7
2015/08/18,5085.14,5054.97,5082.17,5059.35,1501540000,5059.35
2015/08/19,5060.93,4992.85,5039.03,5019.05,1785420000,5019.05
2015/08/20,4986.51,4877.49,4973.49,4877.49,2087000000,4877.49
2015/08/21,4856.75,4706.04,4801.04,4706.04,2768540000,4706.04
2015/08/24,4694.9,4292.14,4351.61,4526.25,3508840000,4526.25
2015/08/25,4689.54,4506.1,4687.27,4506.49,2612800000,4506.49
