Date,Open,High,Low,Close,Volume,Value
2015-10-05 09:00:00,17935,18080,17865,18060,420191,7553928081
2015-10-05 16:30:00,18020,18410,18020,18385,369897,6744281050
2015-10-06 09:00:00,18350,18370,18090,18170,436225,7958722765
2015-10-06 16:30:00,18140,18310,18050,18170,414561,7540943115
2015-10-07 09:00:00,18170,18385,17985,18385,598607,10892977475
2015-10-07 16:30:00,18350,18470,18210,18340,470818,8635025422
2015-10-08 09:00:00,18310,18410,18096,18100,512000,9337973207
2015-10-08 16:30:00,18025,18180,18015,18165,334621,6061033530
2015-10-09 09:00:00,18200,18450,18185,18420,427603,7834973690
2015-10-12 16:30:00,18380,18415,18265,18325,286370,5254053925
2015-10-13 09:00:00,18330,18370,18220,18220,322239,5892765170
2015-10-13 16:30:00,18175,18245,18090,18165,260446,4728511300
2015-10-14 09:00:00,18110,18135,17835,17940,464336,8331090905
2015-10-14 16:30:00,17890,18030,17800,17885,374445,6710821415
2015-10-15 09:00:00,17800,18185,17750,18100,515125,9283184250
2015-10-15 16:30:00,18000,18125,17970,18120,277124,5000660240
2015-10-16 09:00:00,18280,18405,18235,18285,395595,7243283065
2015-10-16 16:30:00,18305,18380,18255,18270,232313,4252117515
2015-10-19 09:00:00,18310,18320,18080,18130,353411,6431006090
2015-10-19 16:30:00,18220,18235,18135,18220,213939,3891600950
2015-10-20 09:00:00,18265,18270,18150,18210,224693,4090844785
2015-10-20 16:30:00,18255,18270,18165,18210,197591,3599679635
2015-10-21 09:00:00,18180,18620,18165,18540,467184,8613688410
