now,stockname,CNT,WIN,PL,AVG,CNT_A,WIN_A,PL_A,AVG_A,WIN_COMP,PL_COMP
2018/07/26 22:18:06,1414_2015S_PL,273,49.08,0.85,-930,44,43.18,1.06,355,-0.12,0.247
2018/07/26 22:18:08,1414_2016L_PL,255,64.71,2.94,6073,47,72.34,2.3,3012,0.118,-0.218
2018/07/26 22:18:08,1414_2016S_PL,280,48.93,0.91,-591,28,46.43,0.42,-3902,-0.051,-0.538
2018/07/26 22:18:10,1414_2017L_PL,259,66.8,2.7,5058,25,40.0,0.59,-2423,-0.401,-0.781
2018/07/26 22:18:10,1414_2017S_PL,264,46.97,0.9,-615,18,44.44,1.61,2893,-0.054,0.789
2018/07/26 22:18:11,1417_2013L_PL,161,50.93,1.02,151,50,42.0,1.05,283,-0.175,0.029
2018/07/26 22:18:11,1417_2013S_PL,151,37.75,0.66,-2859,42,47.62,1.14,792,0.261,0.727
2018/07/26 22:18:13,1417_2014L_PL,215,49.3,1.05,301,56,50.0,0.88,-780,0.014,-0.162
2018/07/26 22:18:13,1417_2014S_PL,196,39.29,0.73,-2146,34,50.0,0.83,-774,0.273,0.137
2018/07/26 22:18:14,1417_2015L_PL,275,49.45,0.99,-39,50,52.0,2.29,5083,0.052,1.313
2018/07/26 22:18:15,1417_2015S_PL,234,41.45,0.77,-1695,44,38.64,0.57,-4965,-0.068,-0.26
2018/07/26 22:18:16,1417_2016L_PL,308,50.32,1.17,950,55,58.18,2.34,4303,0.156,1.0
2018/07/26 22:18:16,1417_2016S_PL,270,42.96,0.8,-1552,40,40.0,0.42,-3927,-0.069,-0.475
2018/07/26 22:18:17,1417_2017L_PL,327,51.68,1.34,1651,31,48.39,1.73,2869,-0.064,0.291
2018/07/26 22:18:18,1417_2017S_PL,260,43.46,0.75,-1890,24,58.33,1.59,3265,0.342,1.12
2018/07/26 22:18:22,1419_2015L_PL,121,54.55,1.23,1366,38,63.16,1.86,3553,0.158,0.512
2018/07/26 22:18:23,1419_2015S_PL,128,65.62,2.63,5654,40,52.5,1.1,584,-0.2,-0.582
2018/07/26 22:18:24,1419_2016L_PL,159,56.6,1.31,1754,52,65.38,1.46,2075,0.155,0.115
2018/07/26 22:18:24,1419_2016S_PL,172,62.79,2.08,4384,40,42.5,1.61,1972,-0.323,-0.226
2018/07/26 22:18:25,1419_2017L_PL,214,59.35,1.36,1911,22,54.55,2.5,9321,-0.081,0.838
2018/07/26 22:18:25,1419_2017S_PL,214,58.88,1.97,3818,30,46.67,1.06,486,-0.207,-0.462
2018/07/26 22:18:26,1420_2015L_PL,98,50.0,0.88,-759,40,50.0,1.32,2187,0.0,0.5
2018/07/26 22:18:26,1420_2015S_PL,140,50.0,0.83,-1236,45,44.44,1.11,726,-0.111,0.337
